7.040522575378417969e+00	9.995915293693542480e-01
3.604150000000000000e+04	8.809267878532409668e-01
4.153020937500000000e+05	8.390663266181945801e-01
1.316608250000000000e+06	7.229405641555786133e-01
2.190533500000000000e+06	5.982286930084228516e-01
2.707512250000000000e+06	5.087658762931823730e-01
3.211522750000000000e+06	4.263393878936767578e-01
3.513389500000000000e+06	3.847523033618927002e-01
3.999070000000000000e+06	3.570516407489776611e-01
4.326306000000000000e+06	3.173224925994873047e-01
4.743842000000000000e+06	2.841129601001739502e-01
5.080287000000000000e+06	2.476118057966232300e-01
5.341945500000000000e+06	2.467411160469055176e-01
5.599373500000000000e+06	2.513324022293090820e-01
5.867270000000000000e+06	2.448901534080505371e-01
6.156414500000000000e+06	2.307877242565155029e-01
6.330390000000000000e+06	2.086123526096343994e-01
6.556733000000000000e+06	2.012031078338623047e-01
6.917119000000000000e+06	1.445629149675369263e-01
7.103158500000000000e+06	1.181128248572349548e-01
7.324823500000000000e+06	1.132600605487823486e-01
7.604673000000000000e+06	9.243266284465789795e-02
7.821882000000000000e+06	8.275483548641204834e-02
8.027529000000000000e+06	9.477004408836364746e-02
8.181686000000000000e+06	9.128781408071517944e-02
8.398160000000000000e+06	8.702721446752548218e-02
8.668161000000000000e+06	7.822853326797485352e-02
8.919647000000000000e+06	9.235581010580062866e-02
